,Date,Close
0,2020-10-19,530.719971
1,2020-10-20,525.419983
2,2020-10-21,489.049988
3,2020-10-22,485.230011
4,2020-10-23,488.279999
5,2020-10-26,488.23999
6,2020-10-27,488.929993
7,2020-10-28,486.23999
8,2020-10-29,504.209991
9,2020-10-30,475.73999
10,2020-11-02,484.119995
11,2020-11-03,487.220001
12,2020-11-04,496.950012
13,2020-11-05,513.76001
14,2020-11-06,514.72998
15,2020-11-09,470.5
16,2020-11-10,480.23999
17,2020-11-11,490.76001
18,2020-11-12,486.769989
19,2020-11-13,482.839996
20,2020-11-16,479.100006
21,2020-11-17,480.630005
22,2020-11-18,481.790009
23,2020-11-19,484.670013
24,2020-11-20,488.23999
25,2020-11-23,476.619995
26,2020-11-24,482.880005
27,2020-11-25,485.0
28,2020-11-27,491.359985
29,2020-11-30,490.700012
30,2020-12-01,504.579987
31,2020-12-02,503.380005
32,2020-12-03,497.519989
33,2020-12-04,498.309998
34,2020-12-07,515.780029
35,2020-12-08,512.659973
36,2020-12-09,493.600006
37,2020-12-10,501.089996
38,2020-12-11,503.220001
39,2020-12-14,522.419983
40,2020-12-15,519.780029
41,2020-12-16,524.830017
42,2020-12-17,532.900024
43,2020-12-18,534.450012
44,2020-12-21,528.909973
45,2020-12-22,527.330017
46,2020-12-23,514.47998
47,2020-12-24,513.969971
48,2020-12-28,519.119995
49,2020-12-29,530.869995
50,2020-12-30,524.590027
51,2020-12-31,540.72998
52,2021-01-04,522.859985
53,2021-01-05,520.799988
54,2021-01-06,500.48999
55,2021-01-07,508.890015
56,2021-01-08,510.399994
57,2021-01-11,499.100006
58,2021-01-12,494.25
59,2021-01-13,507.790009
60,2021-01-14,500.859985
61,2021-01-15,497.980011
62,2021-01-19,501.769989
63,2021-01-20,586.340027
64,2021-01-21,579.840027
65,2021-01-22,565.169983
66,2021-01-25,556.780029
67,2021-01-26,561.929993
68,2021-01-27,523.280029
69,2021-01-28,538.599976
70,2021-01-29,532.390015
71,2021-02-01,539.039978
72,2021-02-02,548.159973
73,2021-02-03,539.450012
74,2021-02-04,552.159973
75,2021-02-05,550.789978
76,2021-02-08,547.919983
77,2021-02-09,559.070007
78,2021-02-10,563.590027
79,2021-02-11,557.590027
80,2021-02-12,556.52002
81,2021-02-16,557.280029
82,2021-02-17,551.340027
83,2021-02-18,548.219971
84,2021-02-19,540.219971
85,2021-02-22,533.780029
86,2021-02-23,546.150024
87,2021-02-24,553.409973
88,2021-02-25,546.700012
89,2021-02-26,538.849976
90,2021-03-01,550.640015
91,2021-03-02,547.820007
92,2021-03-03,520.700012
93,2021-03-04,511.290009
94,2021-03-05,516.390015
95,2021-03-08,493.329987
96,2021-03-09,506.440002
97,2021-03-10,504.540009
98,2021-03-11,523.059998
99,2021-03-12,518.02002
100,2021-03-15,520.25
101,2021-03-16,524.030029
102,2021-03-17,524.440002
103,2021-03-18,504.790009
104,2021-03-19,512.179993
105,2021-03-22,523.109985
106,2021-03-23,535.090027
107,2021-03-24,520.809998
108,2021-03-25,502.859985
109,2021-03-26,508.049988
110,2021-03-29,513.950012
111,2021-03-30,513.390015
112,2021-03-31,521.659973
113,2021-04-01,539.419983
114,2021-04-05,540.669983
115,2021-04-06,544.530029
116,2021-04-07,546.98999
117,2021-04-08,554.580017
